,0
PCET_PCET_ACC,0
PCET_PCETRTCR,7
SPCPTNL_SCPT_TP,19
SPCPTNL_SCPT_TPRT,1
SLNB2_SLNB_MCR,10
SLNB2_SLNB_MRTC,2
KCPW_KIWRD_TOT,11
KCPW_KIWRD_RTC,1
CPF_IFAC_TOT,0
CPF_IFAC_RTC,0
SHORTVOLT_SVT,0
SHORTVOLT_SVTCRT,0
KSPVRTC_K_SPVRT_C_CR,0
KSPVRTC_K_SPVRT_C_RTCR,5
ER40D_ER40_CR,1
ER40D_ER40_CRT,3
MEDF36_MEDF36_NS_CR,0
MEDF36_MEDF36_NS_RTCR,1
PCET_PCET_ACC_z,0
PCET_PCETRTCR_z,7
SPCPTNL_SCPT_TP_z,19
SPCPTNL_SCPT_TPRT_z,1
SLNB2_SLNB_MCR_z,10
SLNB2_SLNB_MRTC_z,2
KCPW_KIWRD_TOT_z,11
KCPW_KIWRD_RTC_z,1
CPF_IFAC_TOT_z,0
CPF_IFAC_RTC_z,0
SHORTVOLT_SVT_z,0
SHORTVOLT_SVTCRT_z,0
KSPVRTC_K_SPVRT_C_CR_z,0
KSPVRTC_K_SPVRT_C_RTCR_z,5
ER40D_ER40_CR_z,1
ER40D_ER40_CRT_z,3
MEDF36_MEDF36_NS_CR_z,0
MEDF36_MEDF36_NS_RTCR_z,1
CPF__eff,1
ER40_eff,2
KCPW_eff,0
KSPV_eff,2
MEDF_eff,0
PCET_eff,2
SHOR_eff,0
SLNB_eff,5
SPCP_eff,6
CPF__eff_z,1
ER40_eff_z,2
KCPW_eff_z,0
KSPV_eff_z,2
MEDF_eff_z,0
PCET_eff_z,2
SHOR_eff_z,0
SLNB_eff_z,5
SPCP_eff_z,6
EF_ACC,1
EF_RT,2
EM_ACC,2
EM_RT,0
SC_ACC,0
SC_RT,1
EF_EFF,1
EM_EFF,0
SC_EFF,0
ZEF_ACC,1
ZEF_RT,2
ZEM_ACC,2
ZEM_RT,0
ZSC_ACC,0
ZSC_RT,1
ZEF_EFF,1
ZEM_EFF,0
ZSC_EFF,0
